Content,Type,Category_C,Content_A,Category
沙文,1,價值觀,沙文主義,Values
沙豬,1,價值觀,沙文主義,Values
殺豬,1,價值觀,沙文主義,Values

貪生,1,性格/行為,貪生,Personality/Behavior
貪財,1,性格/行為,貪財,Personality/Behavior
要錢,1,性格/行為,貪財,Personality/Behavior
貪,1,性格/行為,貪婪,Personality/Behavior
貪婪,1,性格/行為,貪婪,Personality/Behavior
貪小便宜,1,性格/行為,貪婪,Personality/Behavior
短視近利,1,性格/行為,利益,Personality/Behavior
愛佔便宜,1,性格/行為,貪婪,Personality/Behavior
佔人便宜,1,性格/行為,貪婪,Personality/Behavior
佔別人便宜,1,性格/行為,貪婪,Personality/Behavior
佔便宜,1,性格/行為,貪婪,Personality/Behavior
唯利是圖,1,性格/行為,利益,Personality/Behavior
牽拖,1,性格/行為,牽拖,Personality/Behavior
怕死,-1,性格/行為,怕死,Personality/Behavior
膽小,-1,性格/行為,膽小,Personality/Behavior
愛面子,-1,性格/行為,愛面子,Personality/Behavior
背骨,1,性格/行為,背骨,Personality/Behavior
投機,1,性格/行為,投機,Personality/Behavior
利益,1,性格/行為,利益,Personality/Behavior
出賣,1,性格/行為,出賣,Personality/Behavior
賣國,1,其他,賣國,Personality/Behavior
抓耙仔,1,性格/行為,出賣,Personality/Behavior
自以為是,1,性格/行為,自以為是,Personality/Behavior
小氣,1,性格/行為,小氣,Personality/Behavior
摳,1,性格/行為,小氣,Personality/Behavior
自私,1,性格/行為,自私,Personality/Behavior
心機,1,性格/行為,心機,Personality/Behavior
劣根性,1,性格/行為,劣根性,Personality/Behavior
性格/行為,-1,性格/行為,其他性格/行為,Personality/Behavior

民進黨,-1,意識形態/政治,民進黨,Ideology/Politics
綠,-1,意識形態/政治,民進黨,Ideology/Politics
DPP,-1,意識形態/政治,民進黨,Ideology/Politics
dpp,-1,意識形態/政治,民進黨,Ideology/Politics
228,-1,意識形態/政治,228,Ideology/Politics
白色恐怖,-1,意識形態/政治,白色恐怖,Ideology/Politics
風向,-1,意識形態/政治,風向,Ideology/Politics
支那,-1,意識形態/政治,支那,Ideology/Politics
意識形態/政治,-1,意識形態/政治,其他意識形態/政治,Ideology/Politics

宮廟,-1,文化/傳統,宮廟,Culture/Tradition
習俗,-1,文化/傳統,習俗,Culture/Tradition
陋習,1,文化/傳統,習俗,Culture/Tradition
八家將,-1,文化/傳統,八家將,Culture/Tradition
8+9,1,文化/傳統,8+9,Culture/Tradition

南部,-1,居住區域,南部,Residential area

番膏,1,族群/種族歧視 ,番膏,Ethnic/Racial Prejudice
蟑螂,1,族群/種族歧視,蟑螂,Ethnic/Racial Prejudice
族群/種族歧視,1,族群/種族歧視,其他族群/種族歧視,Ethnic/Racial Prejudice

賭博,-1,其他,賭博,Other
家暴,1,其他,家暴,Other
族群分裂,1,其他,族群分裂,Other
食安,-1,其他,食安,Other
其他,-1,其他,其他,Other
