Content,Type,Category_C,Content_A,Category
硬頸,0,性格/行為,硬頸,Personality/Behavior
刻苦耐勞,0,性格/行為,刻苦耐勞,Personality/Behavior
吃苦耐勞,0,性格/行為,刻苦耐勞,Personality/Behavior
耐勞,0,性格/行為,刻苦耐勞,Personality/Behavior
勤勞,0,性格/行為,勤奮,Personality/Behavior
勤奮,0,性格/行為,勤奮,Personality/Behavior
好客,0,性格/行為,好客,Personality/Behavior
團結,0,性格/行為,團結,Personality/Behavior
親切,0,性格/行為,親切,Personality/Behavior
憨厚,0,性格/行為,純樸,Personality/Behavior
純樸,0,性格/行為,純樸,Personality/Behavior
踏實,0,性格/行為,純樸,Personality/Behavior
樸實,0,性格/行為,純樸,Personality/Behavior
正直,0,性格/行為,正直,Personality/Behavior
忠義,0,性格/行為,忠誠,Personality/Behavior
忠誠,0,性格/行為,忠誠,Personality/Behavior
義氣,0,性格/行為,忠誠,Personality/Behavior
慎終追遠,0,性格/行為,慎終追遠,Personality/Behavior
排外,1,性格/行為,排外,Personality/Behavior
排他,1,性格/行為,排外,Personality/Behavior
冷漠,1,性格/行為,排外,Personality/Behavior
省,-1,性格/行為,省,Personality/Behavior
節儉,0,性格/行為,節儉,Personality/Behavior
斂財,1,性格/行為,斂財,Personality/Behavior
勤儉,0,性格/行為,節儉,Personality/Behavior
吝嗇,1,性格/行為,吝嗇,Personality/Behavior
心眼小,1,性格/行為,吝嗇,Personality/Behavior
小氣,1,性格/行為,小氣,Personality/Behavior
摳,1,性格/行為,小氣,Personality/Behavior
貪小便宜,1,性格/行為,貪婪,Personality/Behavior
愛佔便宜,1,性格/行為,貪婪,Personality/Behavior
佔人便宜,1,性格/行為,貪婪,Personality/Behavior
佔別人便宜,1,性格/行為,貪婪,Personality/Behavior
佔便宜,1,性格/行為,貪婪,Personality/Behavior
占人便宜,1,性格/行為,貪婪,Personality/Behavior
占別人便宜,1,性格/行為,貪婪,Personality/Behavior
自私,1,性格/行為,自私,Personality/Behavior
固執,1,性格/行為,固執,Personality/Behavior

三山國王,-1,文化/傳統,三山國王,Culture/Tradition
義民,-1,文化/傳統,義民,Culture/Tradition
山歌,-1,文化/傳統,山歌,Culture/Tradition
民族性,-1,文化/傳統,民族性,Culture/Tradition
採茶葉,-1,文化/傳統,採茶葉,Culture/Tradition

保守,0,價值觀,保守,Values
倫理,-1,價值觀,倫理,Values
大男人,-1,價值觀,大男人,Values
重男輕女,-1,價值觀,重男輕女,Values
顧家,-1,價值觀,持家,Values
持家,-1,價值觀,持家,Values

藍,-1,意識形態/政治,國民黨,Ideology/Politics
國民黨,-1,意識形態/政治,國民黨,Ideology/Politics

其他,-1,其他,其他,Other
