Sentence ID,Biased Sentences,Sources,Toxicity,T-A Combination
1302,少數族群本來就比較容易團結以及擁有集體意識，所以外省人會有這樣的情況,Youtube,0,"[('外省', '團結')]"
4038,台灣人一般都對國民黨的外省人沒什麼好感，所以都不喜歡把女兒嫁給外省軍人,Youtube,0,"[('外省', '軍人'), ('外省', '國民黨')]"
5380,外省榮民他們多數是米蟲，霸佔台灣資源,Youtube,1,"[('外省', '性格/行為')]"
5480,一大堆外省老人由藍轉紅,Youtube,0,"[('外省', '藍'), ('外省', '紅')]"
6322,國民黨現在已經被共產黨收買的差不多了，高層都被共產黨餵的肥肥胖胖的，外省人真的可憐，被國民黨這樣騙一輩子,Youtube,0,"[('外省人', '國民黨'), ('外省人', '共產黨')]"
6329,國民黨就是認為這些外省移民後代不論國民黨再怎麼爛還是會含淚投票給國民黨。我有一個同事是外省第二代，早早就表態支持國民黨，我只覺得他們很可憐，只是國民黨的選票工具，明知現在國民黨沒有最爛只有更爛還是只得投給他們。,Youtube,1,"[('外省', '移民'), ('外省', '國民黨')]"
6348,活在國民黨最偉大的外省思維，真是令人匪夷所思,Youtube,0,"[('外省', '國民黨')]"
6462,這些高級外省人就是自以為是,Youtube,0,"[('外省人', '自以為是'), ('外省人', '高級')]"
6482,外省人就像一群被養的豬，而且是侵略者、野蠻人、寄生蟲,Youtube,1,"[('外省人', '侵略'), ('外省人', '野蠻'), ('外省人', '寄生蟲')]"
6496,很多外省人一直都在瞧不起鄙視台灣人，所謂台灣人就是低俗的鄉下人，他們只愛中國，只想當中國人，不想待在台灣，中國最好統一台灣，這種地方才會變好。,Youtube,0,"[('外省人', '統一'), ('外省人', '中國人')]"
6558,外省第一代都是菁英份子，臺灣人應該要懂得知足，因為這些外省人的通婚才能改變許多台灣人低俗的基因,Youtube,0,"[('外省人', '精英')]"
6840,高級外省人的確是高級啊,Youtube,0,"[('外省', '高級')]"
7022,外省人基本上都很精明，而且只要講到選舉，不管國民黨的人多爛就是照投不誤，因為投給民進黨，他們外省人可能會被趕去跳海,Youtube,0,"[('外省', '國民黨')]"
7053,吃乾抹淨的自封高級外省人,Youtube,1,"[('外省', '高級')]"
7188,我是外省第二代，我的小孩是外省第三代，很多外省人忘掉父母的根，我們的語言文化必須繼續保存下去，我們是中國人，我們的祖父母和歷代祖先都在大陸，千萬不要忘掉自己的文化和自己的根,Youtube,0,"[('外省', '中國人')]"
7563,先不說是不是有分高級的外省人，每個住在台灣的年輕人哪個沒有外省朋友甚至配偶？,Youtube,0,"[('外省', '高級')]"
7746,不要說亡國感，外省人也就是中華民國人都快絕跡了,Youtube,1,"[('外省', '中華民國')]"
7748,外省人真的都很投機,Youtube,0,"[('外省人', '投機')]"
8003,台灣不少知名藝人 都是外省，演藝圈被外省霸佔，超藍,Youtube,0,"[('外省', '演藝圈'), ('外省', '藍')]"
8067,大多數外省人都已移民美國了,Youtube,0,"[('外省', '移民')]"
8478,臺灣演藝圈有名的多是外省後代,Youtube,0,"[('外省', '演藝圈')]"
8534,高級外省人特別高級,Youtube,0,"[('外省', '高級')]"
11251,外省人是滯台中國人,Youtube,0,"[('外省', '中國人'), ('外省', '滯台')]"
11679,台灣的外省家庭的女兒性格較為剛烈，不適合當老婆,Youtube,0,"[('外省', '剛烈')]"
12944,老一輩的外省人幾乎都是支持KMT,Youtube,0,"[('外省', 'KMT')]"
13149,北部來的人是不是外省人,Youtube,0,"[('外省', '北部')]"
16210,我深深感覺得這位年輕女性的家教真的很糟糕，明顯是具有高級外省人的優越感,Youtube,0,"[('外省', '高級'), ('外省', '優越感')]"
