Sentence ID,Biased Sentences,Sources,Toxicity,T-A Combination
5405,你一定是客家省王！,PTT,0,"[('客家', '省')]"
7985162,連奶量都省下來的客家妹,PTT,0,"[('客家', '省')]"
9100224,客家縣長連颱風假都省了，縣民鎮怒,PTT,0,"[('客家', '省')]"
9344617,你都說客家了，當然是省啊,PTT,0,"[('客家', '省')]"
9370397,台灣有客家族群省吃儉用營造精簡持家,PTT,0,"[('客家', '省'), ('客家人', '持家')]"
9497254,客家鬼啦，去別人家洗省水費,PTT,1,"[('客家', '省')]"
9570616,客家表示不要蓋最省,PTT,0,"[('客家', '省')]"
11135692,真是太過客家了，連印小白條都省下來,PTT,0,"[('客家', '省')]"
11906855,客家直接省下來啊,PTT,0,"[('客家', '省')]"
12004827,節省的客家妹子,PTT,0,"[('客家', '省')]"
13216584,哎唷 很客家喔！連分類都省了,PTT,0,"[('客家', '省')]"
20099231,客家妹就是勤儉顧家,PTT,0,"[('客家', '勤儉'), ('客家人', '顧家')]"
21287107,馬桶選客家牌就自動省水啦,PTT,0,"[('客家', '省')]"
24843611,很客家 很省,PTT,0,"[('客家', '省')]"
25386888,連母語都省下來，這真的太客家了，我是祖先也不高興,PTT,0,"[('客家', '省')]"
29273367,客家本來就一堆深藍,PTT,0,"[('客家', '藍')]"
29563082,因為不結婚可以省錢，客家三大教條,PTT,0,"[('客家', '省')]"
29563130,連老婆孩子都省下來才叫客家一哥啊,PTT,0,"[('客家', '省')]"
35985469,省錢 環保 兼具客家精神,PTT,0,"[('客家', '省')]"
88835,客家人真的都貪小便宜，很討厭,PTT,0,"[('客家人', '貪小便宜')]"
88870,客家人坦白講就是占人便宜而不是節省,PTT,0,"[('客家', '省'), ('客家', '占人便宜')]"
88888,沒遇過大方的客家人是真的，錙銖必較，很省，有沒有錢都一樣,PTT,0,"[('客家人', '省')]"
595475,客家人不會喝過期鮮乳好嗎 他們都喝優酪乳自己做，方便又省,PTT,0,"[('客家人', '省')]"
637163,被他傳染客家人性格了，勤儉持家,PTT,0,"[('客家人', '勤儉'), ('客家人', '持家')]"
717848,客家人連打字都很省，不會跟你筆戰，都直接檢舉，你完了,PTT,0,"[('客家人', '省')]"
901504,客家人就是不管身上有多少錢都要省,PTT,0,"[('客家人', '省')]"
1260176,新竹客家人超藍的阿,PTT,0,"[('客家人', '藍')]"
1282662,客家人省錢不買裝,PTT,0,"[('客家人', '省')]"
3860342,客家人設計的? 車身都省了,PTT,0,"[('客家人', '省')]"
7563298,客家人省錢礙到你了嗎？,PTT,0,"[('客家人', '省')]"
7801888,客家人連網路都不辦，省起來,PTT,0,"[('客家人', '省')]"
