Sentence ID,Biased Sentences,Sources,Toxicity,T-A Combination
835,送男生禮物最保險就是3C相關的東西了吧,Youtube,0,"[('男生', '3C')]"
4353,請問你在家帶小孩，房子租金和水電哪裡來？孩子補習才藝班學費哪裡來？你買家用，隨便花幾千，錢哪裡來？老公沒有加班，出差，被老闆和同事羞辱和鬥爭，錢哪裡來？你當男人好過嗎？怎麼不角色互換，看你要不要？結果可能是你的收入連養自己都有問題。,Youtube,0,"[('男人', '收入'), ('老公', '收入')]"
4582,男生收入高才會有話語權,Youtube,0,"[('男生', '收入')]"
4624,男生薪水本來就應該比較高,Youtube,0,"[('男生', '薪水')]"
5010,我不看男生經濟條件，但要有上進心，就是要有願意越賺越多的心，然後要有我看的非常順眼的顏值，就可以了,Youtube,0,"[('男生', '上進心'), ('男生', '顏值')]"
5038,男生身高比我高一點就好,Youtube,0,"[('男生', '高')]"
5370,個人覺得收入對男生蠻重要的,Youtube,0,"[('男生', '收入')]"
5382,男生會把自己的收入當作以後有部分要為家庭支出,Youtube,0,"[('男生', '收入')]"
5456,看男生有沒有上進心比較重要吧！很多人都安於現況，也不積極努力學習,Youtube,0,"[('男生', '上進心')]"
5531,男生就要有更高收入,Youtube,0,"[('男生', '收入')]"
5719,在台灣的社會文化裡男生的責任總是較高,Youtube,0,"[('男生', '責任')]"
6255,男生的家庭責任就是賺錢養家,Youtube,0,"[('男生', '賺錢'), ('男生', '養家')]"
6363,男生本來就會考慮很多現實面的事情，基本上男生就被教育成在家庭方面要分擔家計,Youtube,0,"[('男生', '家計')]"
6392,出外賺錢、賺錢能力就一定是男生要比較大的,Youtube,0,"[('男生', '出外賺錢')]"
9144,男人35歲拼到房子、車子、存款、高收入,Youtube,0,"[('男人', '收入'), ('男人', '房子'), ('男人', '車子')]"
10974,男生就是要負責賺錢養家,Youtube,0,"[('男生', '養家'), ('男生', '賺錢')]"
13319,感覺不管位階高低 男人其實就只是猴子，就是要贏過其他人的心態，就是猴子無關地位,Youtube,1,"[('男人', None)]"
13435,男性自尊心很高，很要面子,Youtube,0,"[('男性', '自尊心')]"
20190,男生比較會需要扛家計,Youtube,0,"[('男生', '家計')]"
23299,現在的男生眼光越來越高，要求對方的條件都是神級的,Youtube,0,"[('男生', '情感/感情')]"
24167,下輩子當然是男生啊，長高又力氣大,Youtube,0,"[('男生', '高')]"
27213,更多時候是男生自尊心做祟，既然他們都不相信可以接受比我矮的男生，不如我就維持我原本的對另一半的高度要求,Youtube,0,"[('男生', '自尊心'), ('男生', '高')]"
27451,男生高就好看,Youtube,0,"[('男生', '高')]"
27926,男人的第一是收入，錢夠多高度體重都不是重點,Youtube,0,"[('男人', '收入'), ('男人', '高')]"
30402,霸氣，真男人，讚哦！,Youtube,0,"[('男人', '霸氣')]"
41565,需要看男生是否會賺錢也會存錢,Youtube,0,"[('男生', '賺錢')]"
41952,那些工程師領十萬二十萬隨時待命，男人真命苦,Youtube,0,"[('男人', '工程師')]"
44952,應該強調是醜男人的錯，帥男人都是對的,Youtube,0,"[('男人', '帥'), ('男人', '醜')]"
45753,男生請客，我覺得是風度問題,Youtube,0,"[('男生', '請客')]"
45896,我覺得男性大多數時間要主動付錢,Youtube,0,"[('男性', '主動'), ('男性', '付錢')]"
46441,男性請客理所當然,Youtube,0,"[('男性', '請客')]"
46677,老公都會主動付錢,Youtube,0,"[('老公', '主動'), ('老公', '付錢')]"
46836,大方不計較的比較適合當男友，大氣的男生比較迷人,Youtube,0,"[('男生', '大氣'), ('男生', '大方')]"
47459,身材高大的男人看起來才有架式，穿衣服也比較好看,Youtube,0,"[('男人', '高')]"
49038,男生如果有錢，你就有選擇權了，不想結婚的大多都是沒錢,Youtube,0,"[('男生', '有錢')]"
49057,男生夠帥叫做有個性，不夠帥 那才叫做直男,Youtube,0,"[('男生', '帥')]"
49459,帥就是重點，男人好壞全看帥不帥！,Youtube,0,"[('男人', '帥')]"
49568,男生堅強也會被罵，因為他們認為你還不夠堅強，或是責任還扛得還不夠多。,Youtube,0,"[('男生', '責任'), ('男生', '堅強')]"
49577,下輩子要當男生，但要當帥男生，不然隨便被當噁男有點慘,Youtube,0,"[('男生', '噁'), ('男生', '帥')]"
49626,下輩子想繼續當男生，只要有錢到老也是很有行情的,Youtube,0,"[('男生', '有錢')]"
49704,作為不擅長主動聊天的男生，往往錯過喜歡的對象,Youtube,0,"[('男生', '主動')]"
50403,這個時代有顏值的男生做什麼都是香的，沒顏值的做什麼都是噁爛,Youtube,1,"[('男生', '噁'), ('男生', '顏值')]"
50462,總結就是長的帥就都可以，人帥真好，人醜真煩，各位男人自重。,Youtube,0,"[('男人', '帥'), ('男人', '醜')]"
50796,我喜歡有點肌肉的男生，男生有點肌肉才好看啊,Youtube,0,"[('男生', '肌肉')]"
51445,有注意到嗎？男生都是同一高度的，說明死矮子連門檻都過不了,Youtube,1,"[('男生', '高')]"
38095,高帥的男生常常有對象貼自然得心應手，自己矮就只能主動一點了,Youtube,0,"[('男生', '帥'), ('男生', '高'), ('男生', '主動')]"
38682,這只能說明男生一旦帥起來更多人喜歡,Youtube,0,"[('男生', '帥')]"
38696,帥的渣男還是比醜的渣男要強得多,Youtube,0,"[('渣男', '帥'), ('渣男', '醜')]"
38793,當一個聰明的男人最重要,Youtube,0,"[('男人', '聰明')]"
39114,但是當好男人終於追上的時候，他想追的人都已給壞男人玩過玩膩不知上幾次了...這不就像吃別人的剩飯剩菜嗎,Youtube,0,"[('男人', '玩')]"
39117,各位這個人是說有顏值的普通比較害羞的男生喔，如果不幸的你很醜，就不要去妄想了，對做好事等投胎比較實在,Youtube,1,"[('男生', '顏值'), ('男生', '醜')]"
39164,貧窮的好男人，不如富有的壞男人,Youtube,0,"[('男人', '富')]"
39297,我比較想要當有錢的男人,Youtube,0,"[('男人', '有錢')]"
39449,很閒的系的男生才會花更多時間打電動,Youtube,0,"[('男生', '電動')]"
39456,打電動的男生脾氣真的不好,Youtube,0,"[('男生', '電動')]"
39893,其實什麼系不是重點，男生就是人帥真好，人醜性騷擾,Youtube,0,"[('男生', '帥'), ('男生', '醜')]"
40157,正解沒有錢沒有長相沒有身高的男生，就無解,Youtube,0,"[('男生', '身高'), ('男生', '有錢')]"
40381,賺錢養家的話，男生壓力又更大,Youtube,0,"[('男生', '賺錢'), ('男生', '養家')]"
255,宅男本身不太喜歡社交又沒朋友約，所以平常就更喜歡待在家,Youtube,0,"[('宅男', '社交')]"
1662,身高對男生來說很敏感,Youtube,0,"[('男生', '身高')]"
1758,170帥哥和180普男️，當然是選180普男，畢竟臉可以整、好看髮型甚至是質感有型的穿搭也能讓容貌加分，但身高是永遠改變不了的。,Youtube,0,"[('普男', '身高')]"
2152,醜男不會講話是宅男，帥哥不會講話是可愛。,Youtube,1,"[('帥哥', '帥'), ('男', '醜')]"
4189,男生原本就需要拼命賺錢，這是社會觀感和壓力下的結果,Youtube,0,"[('男生', '賺錢')]"
5144,很大的成分是現場男生外型問題，畢竟人帥人人愛,Youtube,0,"[('男生', '帥')]"
