model_name,JA,model_size_category,TOTAL_SCORE,汎用的言語性能(GLP)_AVG,GLP_応用的言語性能,GLP_推論能力,GLP_知識・質問応答,GLP_基礎的言語性能,GLP_アプリケーション開発,GLP_表現,GLP_翻訳,GLP_情報検索,GLP_抽象的推論,GLP_論理的推論,GLP_数学的推論,GLP_一般的知識,GLP_専門的知識,GLP_意味解析,GLP_構文解析,GLP_コーディング,GLP_関数呼び出し,アラインメント(ALT)_AVG,ALT_制御性,ALT_倫理・道徳,ALT_毒性,ALT_バイアス,ALT_真実性,ALT_堅牢性,AVG_jaster_0shot,AVG_jaster_2shots,AVG_mtbench,AVG_swebench,model_size,model_release_date
anthropic/claude-opus-4-1-20250805: extended-thinking,0,api,0.7916981122,0.7496240828,0.8762986997,0.7388888889,0.6561716667,0.8198333333,0.6569278253,0.945,0.9135710992,0.770325,0.35,0.91,0.9566666667,0.83021,0.4821333333,0.838,0.8016666667,0.5996581197,0.7141975309,0.8806107961,0.904590708,0.95,0.8779415103,0.8510638298,0.7800687285,0.92,0.8207153295,0.8433936506,0.940625,0.6,null,1754438400000
openai/gpt-5-2025-08-07: high-effort,0,api,0.7862481478,0.7512250792,0.8856145437,0.7211111111,0.7539341667,0.8471666667,0.5482989079,0.975,0.9116936311,0.77015,0.4,0.81,0.9533333333,0.828935,0.6789333333,0.836,0.8583333333,0.5453632479,0.5512345679,0.8713340814,0.9205831226,0.93,0.8360467951,0.8333333333,0.7680412371,0.94,0.8623692582,0.8548903191,0.943125,0.5875,null,1754524800000
openai/o3-2025-04-16: high-effort,0,api,0.7840054906,0.7643329707,0.8869795212,0.725,0.7314683333,0.8575,0.6207169991,0.9766666667,0.912196897,0.772075,0.35,0.86,0.965,0.82297,0.6399666667,0.85,0.865,0.5976068376,0.6438271605,0.846204447,0.9187278761,0.94,0.7139126396,0.8510638298,0.7285223368,0.925,0.8547751368,0.8579983424,0.965625,0.425,null,1744761600000
anthropic/claude-sonnet-4-20250514: extended-thinking,0,api,0.7837979631,0.7405358436,0.8658818368,0.7338888889,0.6479225,0.8146666667,0.6403193257,0.9516666667,0.9111038437,0.734875,0.36,0.895,0.9466666667,0.805545,0.4903,0.816,0.8133333333,0.5911324786,0.6895061728,0.8747269251,0.8834292035,0.94,0.854827692,0.9090909091,0.7560137457,0.905,0.7980867247,0.8404575812,0.945625,0.5125,null,1747180800000
grok-4,0,api,0.7764261774,0.7483150324,0.884549471,0.7266666667,0.7343091667,0.8176666667,0.5783831909,0.9566666667,0.9099817462,0.787,0.36,0.915,0.905,0.813385,0.6552333333,0.812,0.8233333333,0.5771367521,0.5796296296,0.8481720496,0.8717319848,0.93,0.7254790069,0.95,0.6718213058,0.94,0.8413620202,0.8381163678,0.93375,0.375,null,1752019200000
anthropic/claude-3.7-sonnet-20250219: extended-thinking,0,api,0.7650945568,0.7299982384,0.8597027469,0.6772222222,0.6797025,0.8098333333,0.6235303894,0.9383333333,0.9022999073,0.738475,0.22,0.89,0.9216666667,0.775805,0.5836,0.788,0.8316666667,0.593974359,0.6530864198,0.8468129152,0.8553429204,0.95,0.8573215126,0.85,0.7182130584,0.85,0.8254796294,0.8139870931,0.93125,0.525,null,1739923200000
deepseek-ai/DeepSeek-R1-0528: reasoning-enabled,0,Large (30B+),0.7552597938,0.7402025539,0.8887966039,0.685,0.6842491667,0.8376666667,0.6053003324,0.985,0.9063898116,0.775,0.16,0.95,0.945,0.783665,0.5848333333,0.827,0.8483333333,0.5834401709,0.6271604938,0.8163458074,0.7682458913,0.94,0.8381622865,0.9,0.6666666667,0.785,0.8245101279,0.8315669337,0.96875,0.4875,684531386000,1748390400000
grok-3-mini,0,api,0.7327818051,0.7009403771,0.8440310852,0.6755555556,0.6489925,0.8111666667,0.5249560779,0.945,0.8787182557,0.708375,0.19,0.915,0.9216666667,0.729185,0.5688,0.799,0.8233333333,0.5048504274,0.5450617284,0.8174565421,0.8322661188,0.94,0.8116655737,0.8333333333,0.5824742268,0.905,0.8054522531,0.7925540593,0.94125,0.1875,null,1747612800000
anthropic/claude-opus-4-20250514: no-thinking,0,api,0.7292618756,0.6610294983,0.892874469,0.685,0.5312058333,0.5675,0.628567189,0.96,0.9135234071,0.8051,0.24,0.89,0.925,0.610345,0.4520666667,0.82,0.315,0.556517094,0.700617284,0.8432909574,0.7630530973,0.97,0.8241977317,0.8163265306,0.7611683849,0.925,0.6301859683,0.6836667057,0.941875,0.4875,null,1747180800000
grok-3,0,api,0.7247484838,0.6920444609,0.8753636007,0.6061111111,0.5839883333,0.7971666667,0.5975925926,0.9466666667,0.9089741354,0.77045,0.09,0.875,0.8533333333,0.75611,0.4118666667,0.796,0.7983333333,0.5266666667,0.6685185185,0.8164274054,0.8681700379,0.95,0.781434961,0.8780487805,0.5859106529,0.835,0.7654980226,0.7949961017,0.93125,0.3,null,1739923200000
