instance_id,text_tokens,problem_tokens,hints_tokens,gold_patch_tokens
astropy__astropy-12907,2475,158,0,40
astropy__astropy-13033,1696,377,345,112
astropy__astropy-13236,21588,323,127,100
astropy__astropy-13398,4090,659,2335,1541
astropy__astropy-13453,4065,1016,908,39
astropy__astropy-13579,2829,621,75,59
astropy__astropy-13977,12745,455,169,745
astropy__astropy-14096,12872,109,138,67
astropy__astropy-14182,1373,189,0,262
astropy__astropy-14309,3803,488,4,55
astropy__astropy-14365,4195,202,206,78
astropy__astropy-14369,2966,281,289,644
astropy__astropy-14508,8047,358,130,204
astropy__astropy-14539,9157,183,86,44
astropy__astropy-14598,7926,308,119,98
astropy__astropy-14995,5300,357,808,89
astropy__astropy-7166,6133,18,168,114
astropy__astropy-7336,1957,200,13,51
astropy__astropy-7606,11093,103,32,115
astropy__astropy-7671,2729,190,56,97
astropy__astropy-8707,17967,120,0,647
astropy__astropy-8872,9634,111,41,186
django__django-10097,3302,388,0,55
django__django-10554,21557,245,51,151
django__django-10880,1312,42,16,49
django__django-10914,4043,151,756,69
django__django-10973,931,51,0,205
django__django-10999,1326,56,188,38
django__django-11066,1370,213,327,51
django__django-11087,2932,717,1097,277
django__django-11095,10403,59,124,84
django__django-11099,847,121,0,79
django__django-11119,1431,45,13,35
django__django-11133,3103,110,66,62
django__django-11138,9565,437,24,628
django__django-11141,2503,119,0,125
django__django-11149,10475,106,114,458
django__django-11163,7360,59,72,57
django__django-11179,2253,42,107,35
django__django-11206,1149,91,67,103
django__django-11211,10265,112,24,43
django__django-11239,889,117,0,111
django__django-11265,13741,263,568,184
django__django-11276,2583,146,0,274
django__django-11292,3263,63,0,146
django__django-11299,13816,339,44,44
django__django-11333,4591,202,34,106
django__django-11400,13432,88,182,250
django__django-11433,7386,82,0,93
django__django-11451,1761,249,0,46
django__django-11477,3639,35,274,73
django__django-11490,8465,44,0,53
django__django-11532,8442,250,96,428
django__django-11551,6030,792,114,225
django__django-11555,8568,115,84,43
django__django-11603,1334,62,1,54
django__django-11728,1714,69,262,371
django__django-11734,24248,87,83,174
django__django-11740,6750,219,308,117
django__django-11749,2809,160,12,101
django__django-11790,2268,27,2,60
django__django-11815,2201,244,367,63
django__django-11820,9488,40,14,78
django__django-11848,3139,102,362,102
django__django-11880,6110,136,15,36
django__django-11885,4842,199,0,975
django__django-11951,10223,66,0,78
django__django-11964,1199,238,64,65
django__django-11999,10517,66,569,64
django__django-12039,1526,155,52,108
django__django-12050,13777,52,0,106
django__django-12125,2133,181,300,46
django__django-12143,10536,173,0,59
django__django-12155,3473,119,153,236
django__django-12193,5322,104,11,54
django__django-12209,9659,173,387,49
django__django-12262,2267,144,0,79
django__django-12273,9596,106,770,47
django__django-12276,5285,73,80,78
django__django-12304,1080,85,0,54
django__django-12308,3014,69,60,52
django__django-12325,13963,86,318,125
django__django-12406,14717,124,8,185
django__django-12419,4029,86,29,37
django__django-12663,14103,228,250,46
django__django-12708,6647,156,59,68
django__django-12713,10464,30,0,146
django__django-12741,4697,40,0,110
django__django-12754,6676,117,2251,104
django__django-12774,10388,115,0,101
django__django-12858,9833,84,0,58
django__django-12965,9063,349,37,45
django__django-13012,6380,164,131,36
django__django-13023,10679,81,0,34
django__django-13028,14263,239,101,66
django__django-13033,9178,437,457,117
django__django-13089,1873,124,0,66
django__django-13109,8122,220,76,37
django__django-13112,8066,164,156,69
django__django-13121,13431,82,9,552
django__django-13128,6264,36,0,295
django__django-13158,14196,131,20,86
django__django-13195,4599,333,22,221
django__django-13212,8646,61,312,648
django__django-13279,2376,59,0,100
django__django-13297,1870,159,53,94
django__django-13315,7552,47,1024,95
django__django-13343,3181,170,0,84
django__django-13344,2500,159,280,394
django__django-13346,2699,83,152,152
django__django-13363,2169,212,188,94
django__django-13401,10821,189,0,190
django__django-13406,10652,315,443,32
django__django-13410,1307,164,16,64
django__django-13417,10478,134,136,58
django__django-13449,7001,535,112,117
django__django-13512,8636,60,235,101
django__django-13513,3187,120,44,331
django__django-13516,3457,83,0,41
django__django-13551,1276,88,0,185
django__django-13568,1601,97,0,53
django__django-13569,1549,245,186,42
django__django-13590,14423,132,0,76
django__django-13658,2906,153,24,73
django__django-13670,2287,109,0,52
django__django-13741,2488,144,80,124
django__django-13786,3981,92,15,59
django__django-13794,2632,50,6,70
django__django-13807,3667,161,236,105
django__django-13809,1424,49,3,96
django__django-13810,2496,331,6,83
django__django-13820,2807,318,0,119
django__django-13821,3597,84,0,61
django__django-13837,3881,251,0,124
django__django-13925,10867,468,332,50
django__django-13933,7657,158,126,50
django__django-13964,10663,243,96,64
django__django-14007,9030,165,0,136
django__django-14011,2402,263,535,186
django__django-14017,2339,136,80,58
django__django-14034,2073,159,1213,137
django__django-14053,3039,372,86,218
django__django-14089,2067,46,0,35
django__django-14122,8923,62,0,118
django__django-14140,2349,141,782,94
django__django-14155,3814,76,0,84
django__django-14170,7007,195,0,329
django__django-14238,11197,207,0,42
django__django-14311,3683,79,102,111
django__django-14315,1061,45,0,86
django__django-14349,3270,218,42,83
django__django-14351,3970,698,473,59
django__django-14373,2113,32,0,57
django__django-14376,2885,79,81,134
django__django-14404,3177,34,0,72
django__django-14434,7217,29,0,104
django__django-14493,2908,121,51,43
django__django-14500,2644,40,60,72
django__django-14534,2111,194,93,31
django__django-14539,2460,36,19,63
django__django-14559,10612,54,616,126
django__django-14580,2240,183,111,44
django__django-14608,3171,100,6,76
django__django-14631,4521,207,79,486
django__django-14672,2528,520,0,33
django__django-14725,7648,66,440,174
django__django-14752,1378,295,4,135
django__django-14765,4688,92,48,80
django__django-14771,3756,124,0,81
django__django-14787,1618,90,0,73
django__django-14792,2038,204,26,57
django__django-14855,2504,146,306,47
django__django-14915,7700,125,86,38
django__django-14999,3755,41,0,91
django__django-15022,10724,139,223,78
django__django-15037,2266,86,23,86
django__django-15098,3546,330,201,23
django__django-15103,6397,69,0,150
django__django-15104,7248,455,0,38
django__django-15127,729,38,59,64
django__django-15128,14617,360,1104,468
django__django-15161,6826,68,50,163
django__django-15252,2888,243,1503,85
django__django-15268,3858,124,0,95
django__django-15277,11298,396,26,44
django__django-15278,3006,112,7,133
django__django-15280,6793,293,105,68
django__django-15315,11044,136,0,62
django__django-15368,11275,153,33,102
django__django-15375,1549,178,184,60
django__django-15380,6936,143,0,59
django__django-15382,6825,51,177,82
django__django-15467,11163,84,25,54
django__django-15499,3891,30,0,61
django__django-15503,2968,189,91,283
django__django-15525,2578,366,97,46
django__django-15554,14889,160,108,533
django__django-15561,18352,57,353,194
django__django-15563,10404,175,90,236
django__django-15569,2257,56,320,35
django__django-15572,1009,143,0,74
django__django-15629,18822,247,245,401
django__django-15695,4454,94,182,53
django__django-15731,1654,147,4,67
django__django-15732,7938,85,858,232
django__django-15741,2085,42,0,46
django__django-15814,14975,199,94,54
django__django-15851,995,97,0,42
django__django-15863,4725,94,0,40
django__django-15916,8141,233,143,148
django__django-15930,7735,89,10,81
django__django-15957,7014,129,537,277
django__django-15973,8044,412,37,40
django__django-15987,2439,24,0,60
django__django-16032,15503,77,595,171
django__django-16082,7845,48,103,26
django__django-16100,11095,42,33,118
django__django-16116,2912,100,5,92
django__django-16136,1994,204,316,67
django__django-16139,2521,175,0,45
django__django-16145,1498,78,362,92
django__django-16255,1861,143,12,41
django__django-16256,9932,189,111,420
django__django-16263,25307,89,448,871
django__django-16315,22065,150,145,206
django__django-16333,2414,65,0,29
django__django-16429,1504,107,129,30
django__django-16454,3747,216,0,76
django__django-16485,4658,27,13,45
django__django-16493,3232,144,30,60
django__django-16502,1953,216,57,220
django__django-16527,1245,61,83,35
django__django-16560,3284,120,54,824
django__django-16569,3358,196,0,53
django__django-16595,1975,142,72,52
django__django-16612,3269,62,65,42
django__django-16631,2354,130,299,205
django__django-16642,3740,35,4,46
django__django-16661,11241,137,3,117
django__django-16662,2004,107,46,90
django__django-16667,5619,209,5,54
django__django-16801,3207,116,0,154
django__django-16819,4452,14,0,52
django__django-16877,4714,67,0,66
django__django-16899,5825,117,0,76
django__django-16901,2368,149,0,162
django__django-16938,3585,318,53,78
django__django-16950,8125,196,186,73
django__django-17029,3004,95,6,44
django__django-17084,14708,71,32,118
django__django-17087,2264,100,263,48
django__django-7530,2254,64,0,48
django__django-9296,1449,63,52,47
matplotlib__matplotlib-13989,42706,226,6,53
matplotlib__matplotlib-14623,48584,126,29,381
matplotlib__matplotlib-20488,10439,248,7,86
matplotlib__matplotlib-20676,15747,221,88,63
matplotlib__matplotlib-20826,11868,328,83,70
matplotlib__matplotlib-20859,7323,343,196,97
matplotlib__matplotlib-21568,10351,150,211,85
matplotlib__matplotlib-22719,2772,902,140,114
matplotlib__matplotlib-22865,8895,158,0,77
matplotlib__matplotlib-22871,10439,166,4,92
matplotlib__matplotlib-23299,7746,198,92,71
matplotlib__matplotlib-23314,17302,124,52,33
matplotlib__matplotlib-23412,22206,230,399,55
matplotlib__matplotlib-23476,17594,352,68,59
matplotlib__matplotlib-24026,1670,204,0,164
matplotlib__matplotlib-24149,44222,361,422,92
