2023-06-29 09:06:34 INFO === Launch-agent called with kwargs {'ctx': <click.core.Context object at 0x7f9545063700>, 'project': None, 'entity': 'keisuke-kamata', 'queues': ('llm-jap-evaluation-kei-gpu',), 'max_jobs': None, 'config': None, 'url': None}  CLI Version: 0.15.4 ===
2023-06-29 09:34:18 INFO === Launch-agent called with kwargs {'ctx': <click.core.Context object at 0x7f60f5363700>, 'project': None, 'entity': 'keisuke-kamata', 'queues': ('llm-jap-evaluation-kei-gpu',), 'max_jobs': None, 'config': None, 'url': None}  CLI Version: 0.15.4 ===
2023-06-29 09:47:51 INFO === Launch-agent called with kwargs {'ctx': <click.core.Context object at 0x7fd844c63700>, 'project': None, 'entity': 'keisuke-kamata', 'queues': ('llm-jap-evaluation-kei-gpu',), 'max_jobs': None, 'config': None, 'url': None}  CLI Version: 0.15.4 ===
2023-06-29 09:51:43 INFO === Launch-agent called with kwargs {'ctx': <click.core.Context object at 0x7f8779363700>, 'project': None, 'entity': 'keisuke-kamata', 'queues': ('llm-jap-evaluation-kei-gpu',), 'max_jobs': None, 'config': None, 'url': None}  CLI Version: 0.15.4 ===
2023-06-29 10:10:57 INFO === Launch-agent called with kwargs {'ctx': <click.core.Context object at 0x7fa8ea503700>, 'project': None, 'entity': 'keisuke-kamata', 'queues': ('llm-jap-evaluation-kei-gpu',), 'max_jobs': None, 'config': None, 'url': None}  CLI Version: 0.15.4 ===
2023-06-29 11:26:53 INFO === Launch-agent called with kwargs {'ctx': <click.core.Context object at 0x7f80ccc63700>, 'project': None, 'entity': 'keisuke-kamata', 'queues': ('llm-jap-evaluation-kei-gpu',), 'max_jobs': None, 'config': None, 'url': None}  CLI Version: 0.15.4 ===
2023-06-29 12:15:08 INFO === Launch-agent called with kwargs {'ctx': <click.core.Context object at 0x7f2efef67700>, 'project': None, 'entity': 'keisuke-kamata', 'queues': ('llm-jap-evaluation-kei-gpu',), 'max_jobs': None, 'config': None, 'url': None}  CLI Version: 0.15.4 ===
2023-06-29 14:28:31 INFO === Launch-agent called with kwargs {'ctx': <click.core.Context object at 0x7f330eb43700>, 'project': None, 'entity': 'keisuke-kamata', 'queues': ('llm-jap-evaluation-kei-gpu',), 'max_jobs': None, 'config': None, 'url': None}  CLI Version: 0.15.4 ===
2023-06-29 14:31:11 INFO === Launch-agent called with kwargs {'ctx': <click.core.Context object at 0x7f9343d63700>, 'project': None, 'entity': 'keisuke-kamata', 'queues': ('llm-jap-evaluation-kei-gpu',), 'max_jobs': None, 'config': None, 'url': None}  CLI Version: 0.15.4 ===
2023-07-03 17:29:41 INFO === Launch-agent called with kwargs {'ctx': <click.core.Context object at 0x7f7c39f67700>, 'project': None, 'entity': 'keisuke-kamata', 'queues': ('llm-jap-evaluation-kei-gpu',), 'max_jobs': None, 'config': None, 'url': None}  CLI Version: 0.15.4 ===
2023-07-03 17:36:34 INFO === Launch-agent called with kwargs {'ctx': <click.core.Context object at 0x7ffa0c723700>, 'project': None, 'entity': 'keisuke-kamata', 'queues': ('llm-jap-evaluation-kei-gpu',), 'max_jobs': None, 'config': None, 'url': None}  CLI Version: 0.15.4 ===
